0;1;watt2,0,Left;watt4,0
0;2;watt2,1,Left;watt4,0
0;3;watt2,2,Left;watt4,0
3;4;watt1,0,Bottom;watt4,0;watt2,2,Left
3;5;watt1,1,Bottom;watt4,0;watt2,2,Left
3;6;watt1,2,Bottom;watt4,0;watt2,2,Left
3;7;watt1,3,Bottom;watt4,0;watt2,2,Left
3;8;watt1,4,Bottom;watt4,0;watt2,2,Left
3;9;watt1,5,Bottom;watt4,0;watt2,2,Left
3;10;watt1,6,Bottom;watt4,0;watt2,2,Left
3;11;watt1,7,Bottom;watt4,0;watt2,2,Left
3;12;watt1,0,Right;watt4,0;watt2,2,Left
3;13;watt1,1,Right;watt4,0;watt2,2,Left
3;14;watt1,2,Right;watt4,0;watt2,2,Left
14;15;watt5,0,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;16;watt5,1,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;17;watt5,2,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;18;watt5,3,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;19;watt5,4,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;20;watt5,5,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;21;watt5,6,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;22;watt5,7,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;23;watt5,0,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;24;watt5,1,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;25;watt5,2,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;26;watt5,3,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;27;watt5,4,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;28;watt5,5,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;29;watt5,6,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;30;watt5,7,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;31;watt5,0,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
14;32;watt5,1,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
